iter	Passed	Remaining
604	1367	893
605	1368	889
606	1369	886
607	1370	883
608	1371	880
609	1372	877
610	1372	874
611	1373	870
612	1374	867
613	1375	864
614	1376	861
615	1377	858
616	1377	855
617	1378	852
618	1379	849
619	1380	846
620	1381	843
621	1382	840
622	1383	836
623	1383	833
624	1384	830
625	1385	827
626	1386	824
627	1387	821
628	1388	818
629	1389	815
630	1389	812
631	1390	809
632	1391	806
633	1392	803
634	1393	800
635	1394	797
636	1394	794
637	1395	791
638	1396	788
639	1397	786
640	1398	783
641	1398	780
642	1399	777
643	1400	774
644	1401	771
645	1402	768
646	1403	765
647	1404	762
648	1404	759
649	1405	756
650	1406	754
651	1407	751
652	1408	748
653	1409	745
654	1410	742
655	1410	739
656	1411	737
657	1412	734
658	1413	731
659	1414	728
660	1415	725
661	1415	722
662	1416	720
663	1417	717
664	1418	714
665	1419	711
666	1420	709
667	1421	706
668	1421	703
669	1422	700
670	1423	698
671	1424	695
672	1425	692
673	1426	689
674	1427	687
675	1427	684
676	1428	681
677	1429	678
678	1430	676
679	1431	673
680	1432	670
681	1432	668
682	1433	665
683	1434	662
684	1435	660
685	1436	657
686	1437	654
687	1437	652
688	1438	649
689	1439	646
690	1440	644
691	1441	641
692	1442	638
693	1442	636
694	1443	633
695	1444	630
696	1445	628
697	1446	625
698	1447	623
699	1448	620
700	1448	618
701	1449	615
702	1450	612
703	1451	610
704	1452	607
705	1453	605
706	1454	602
707	1454	600
708	1455	597
709	1456	594
710	1457	592
711	1458	589
712	1459	587
713	1460	584
714	1460	582
715	1461	579
716	1462	577
717	1463	574
718	1464	572
719	1465	569
720	1465	567
721	1466	564
722	1467	562
723	1468	559
724	1469	557
725	1470	554
726	1471	552
727	1471	549
728	1472	547
729	1473	545
730	1474	542
731	1475	540
732	1476	537
733	1477	535
734	1477	532
735	1478	530
736	1479	527
737	1480	525
738	1481	523
739	1482	520
740	1482	518
741	1483	515
742	1484	513
743	1485	511
744	1486	508
745	1486	506
746	1487	503
747	1488	501
748	1489	499
749	1490	496
750	1491	494
751	1492	492
752	1492	489
753	1493	487
754	1494	484
755	1495	482
756	1496	480
757	1496	477
758	1497	475
759	1498	473
760	1499	470
761	1500	468
762	1501	466
763	1502	463
764	1502	461
765	1503	459
766	1504	457
767	1505	454
768	1506	452
769	1507	450
770	1507	447
771	1508	445
772	1509	443
773	1510	441
774	1511	438
775	1512	436
